Future,Time,Conflict,Players,Motivation,Location
όμορφο,σε λίγα χρόνια,ανταγωνιστικό (6),δύο (6),διασκέδαση,στο σπίτι
καλύτερο,σε μια δεκαετία,συνεργατικό (2),δύο ως τέσσερις (4),συγκίνηση,σε στάδιο
παράξενο,σε μια γενιά,δίχως σύγκρουση,έως οκτώ,μάθηση,σε εργαστήριο
φωτεινό,σε δύο γενιές,ημι- συνεργατικό,μια μικρή ομάδα από,δόξα,εν κινήσει
λαμπρό,σε έναν αιώνα,,ομάδες από (4),χρήμα,σε εξωτερικό χώρο
καταθλιπτικό,σε μια χιλιετία,,ένα πλήθος από,επιβίωση,σε παμπ
επιθυμητό,,,έναν απεριόριστο αριθμό από,διαφώτιση,σε διαστημόπλοιο
πράσινο,,,,θεραπεία,σε διάστημα
ξεκαρδιστικό,,,,αποκατάσταση,σε οχήματα
φρικτό,,,,κοινωνικοποίηση,οπουδήποτε
χαρούμενο,,,,παιχνίδι ρόλων,σε γήπεδο
σκοτεινό,,,,φυγή από την καθημερινότητα,σε θέατρο
παιχνιδιάρικο,,,,ανακάλυψη,στο δρόμο
ειρηνικό,,,,πρόκληση,σε σπηλιά
λυπημένο,,,,δύναμη,στην πόλη
τρομακτικό,,,,ανάπτυξη ικανοτήτων,σε ταράτσα
εγωιστικό,,,,αναψυχή,στο αεροπλάνο
σοφό,,,,άσκηση,στο γραφείο
δημιουργικό,,,,πνευματική διέγερση,σε αποθήκη
ουτοπικό,,,,διαλογισμό,κάτω από το νερό
μετα-αποκαλυπτικό,,,,ενσυνειδητότητα,σε πλοίο
ανεπιθύμητο,,,,ενσυναίσθηση,σε ποδήλατο
ουδέτερο,,,,ανακούφιση από τον πόνο,σε πατίνι
,,,,απόκτηση φίλων,στη θάλασσα
,,,,δουλειά,σε ειδικό δωμάτιο
,,,,δημοτικότητα,σε καταστήματα
,,,,τέχνη,σε εστιατόρια
,,,,εορτασμό,σε πάρκα ψυχαγωγίας
,,,,γέλια,σε χώρο με ηλεκτρονικά παιχνίδια
,,,,να διατηρεί κανείς τη φόρμα του,στην τηλεόραση
,,,,περιπέτεια,στο Διαδίκτυο
,,,,υγεία,σε πάρτι
,,,,φαγητό,σε παιδικές χαρές
,,,,προστασία του περιβάλλοντος,σε υποβρύχιο
,,,,έμπνευση,στη φύση
,,,,ελπίδα,σε κοινόχρηστους χώρους
,,,,χαλάρωση,στη δουλειά
,,,,γνώση,
,,,,δεξιότητες,
,,,,ψυχαγωγία,
,,,,φιλανθρωπία,
,,,,δικαιοσύνη,
,,,,επίλυση διαφορών,